GSM3272790	GSM3272781	GSM3272782	GSM3272789	GSM3272787	GSM3272779	GSM3272788	GSM3272780	geneIDs
1814	226	156	2351	704	150	633	48	ENSMUSG00000056870
0	0	1	2	0	0	0	0	ENSMUSG00000101701
22815	1639	1077	26564	13595	317	8124	184	ENSMUSG00000026043
3979	2572	1231	5725	2279	1592	1401	363	ENSMUSG00000026042
2348	1044	1862	5806	1789	478	811	791	ENSMUSG00000025995
1244	5102	6568	2451	1082	2754	395	3495	ENSMUSG00000025993
0	0	0	1	0	0	0	0	ENSMUSG00000070896
0	0	0	2	0	0	0	0	ENSMUSG00000044457
445	269	181	1617	335	191	181	93	ENSMUSG00000041144
0	0	0	0	0	0	0	0	ENSMUSG00000096047
752	18	23	2749	578	15	312	9	ENSMUSG00000101337
3102	1548	1340	7430	2010	646	1095	502	ENSMUSG00000025986
0	0	0	1	0	0	0	0	ENSMUSG00000099608
1052	34	24	733	346	8	344	2	ENSMUSG00000026109
2	0	0	11	4	0	0	0	ENSMUSG00000101799
74590	3213	3114	215162	50207	1584	26456	929	ENSMUSG00000045954
0	0	64	3	0	2	0	136	ENSMUSG00000101702
3251	4821	17564	5782	2095	2069	1124	10589	ENSMUSG00000026107
27347	896	917	52296	16763	317	9523	230	ENSMUSG00000018417
503	39	23	390	158	10	121	6	ENSMUSG00000062939
6896	1327	1126	10847	3555	427	2377	168	ENSMUSG00000026104
8709	15176	17010	22273	6328	7123	2937	5955	ENSMUSG00000026103
9098	2605	2808	19206	5297	1165	3169	842	ENSMUSG00000002881
9	0	0	24	8	0	3	0	ENSMUSG00000101501
832	92	93	1661	544	79	282	51	ENSMUSG00000043015
7043	2465	1490	14317	3992	659	2439	390	ENSMUSG00000041439
2356	696	515	4839	1323	312	882	143	ENSMUSG00000026102
3863	3279	3354	3501	1098	1412	1324	941	ENSMUSG00000041426
153	179	76	278	103	54	72	27	ENSMUSG00000043629
2	0	2	2	6	0	0	0	ENSMUSG00000026100
1	0	0	1	0	1	0	0	ENSMUSG00000060715
248	215	65	419	124	110	107	15	ENSMUSG00000026098
1485	697	834	3274	931	382	507	309	ENSMUSG00000026097
632	781	1021	1919	593	372	212	344	ENSMUSG00000026096
629	388	445	1518	428	155	243	103	ENSMUSG00000026095
471	2	0	1701	312	0	184	0	ENSMUSG00000096141
7434	668	1589	10245	3755	369	2535	558	ENSMUSG00000026094
4738	445	559	9919	1627	209	1708	189	ENSMUSG00000042807
0	0	0	0	0	0	0	0	ENSMUSG00000098443
53	2	4	373	71	3	14	0	ENSMUSG00000025983
1880	1311	926	4388	1275	662	676	333	ENSMUSG00000041303
957	1702	1020	1569	579	1043	308	390	ENSMUSG00000073678
9762	1096	519	10702	2683	399	3495	177	ENSMUSG00000052331
0	1	0	8	3	0	1	0	ENSMUSG00000101674
20975	10344	11394	53391	15404	5735	7246	5176	ENSMUSG00000025982
62	50	118	176	63	12	15	42	ENSMUSG00000103030
3360	2250	6202	8116	2599	1094	1214	2058	ENSMUSG00000025981
15087	27556	32696	24734	7017	10576	5554	10759	ENSMUSG00000025980
6872	7901	11772	10517	2909	3403	2348	3403	ENSMUSG00000073676
7031	2433	4155	17788	5252	1399	2441	1396	ENSMUSG00000025979
1828	202	167	3385	1270	44	620	39	ENSMUSG00000025978
974	789	1290	2979	876	400	393	670	ENSMUSG00000046994
15	2	2	52	7	0	5	3	ENSMUSG00000025977
1467	1949	678	1326	366	678	529	240	ENSMUSG00000038349
1	2	2	0	0	2	0	0	ENSMUSG00000099950
156	1324	185	59	22	363	56	59	ENSMUSG00000038331
12	141	323	26	6	111	4	109	ENSMUSG00000087022
0	0	0	0	2	0	0	0	ENSMUSG00000101429
10	2	2	17	4	0	1	0	ENSMUSG00000097519
779	429	690	2069	610	240	311	278	ENSMUSG00000038323
532	218	381	2082	568	220	208	195	ENSMUSG00000048495
1401	993	1690	3530	1070	464	476	554	ENSMUSG00000025971
1495	1432	469	1841	485	420	500	157	ENSMUSG00000038305
1085	332	425	3610	1062	176	383	147	ENSMUSG00000054770
216	4	2	310	70	5	71	6	ENSMUSG00000026039
